,math score,reading score,writing score
819,77,91,88
345,72,80,75
978,55,41,48
271,58,49,42
22,44,54,53
783,52,59,62
358,59,62,61
748,50,60,59
855,97,97,96
929,48,56,51
245,85,76,71
506,68,70,66
620,35,61,54
759,69,77,77
640,41,52,51
907,79,84,91
30,69,74,74
761,48,58,54
406,65,65,63
718,76,76,74
637,80,92,88
778,72,79,82
131,53,37,40
399,60,59,54
72,41,51,48
284,37,46,46
603,60,57,51
461,54,54,45
963,65,76,75
23,69,73,73
39,57,56,57
911,69,84,82
954,62,69,69
177,71,77,77
539,97,92,86
207,81,80,76
702,87,84,87
318,63,71,69
797,70,84,81
253,80,80,72
240,73,68,66
425,62,67,62
48,57,74,76
360,58,62,59
364,59,60,58
949,57,75,73
344,79,73,67
307,51,52,44
362,52,58,58
52,53,44,42
600,54,60,63
15,69,75,78
397,85,89,95
75,44,41,38
807,41,45,40
555,32,39,33
269,71,76,70
275,83,78,73
163,52,53,49
241,80,83,83
644,70,65,60
316,77,82,91
219,61,56,56
90,65,72,74
736,92,79,84
19,54,58,61
112,54,53,47
32,56,72,65
891,85,92,85
958,45,63,59
839,66,77,73
997,59,71,65
454,53,61,62
928,46,43,44
654,73,79,79
110,77,89,98
239,84,80,80
803,82,85,87
886,93,100,95
170,72,73,74
794,42,52,51
533,79,88,94
622,58,51,52
283,70,78,78
981,81,78,78
412,71,66,60
844,40,65,64
507,55,59,54
256,64,73,68
829,68,54,53
96,65,66,62
814,72,80,83
813,87,84,76
204,59,41,42
486,61,47,56
599,65,82,81
956,84,87,81
582,63,73,78
705,62,72,65
994,63,63,62
320,67,79,84
411,84,83,78
431,61,72,70
709,42,61,58
196,59,69,65
82,50,47,54
849,80,75,69
13,78,72,70
255,62,73,70
74,49,49,41
635,71,74,64
129,51,49,51
499,76,71,72
993,62,72,74
136,51,54,41
980,8,24,23
297,71,74,68
137,70,55,56
249,68,60,53
764,60,63,59
664,80,63,63
101,68,74,74
853,82,67,61
595,56,79,72
715,76,94,87
740,80,73,72
851,61,68,63
695,79,89,86
173,63,67,70
152,59,70,66
876,81,82,84
34,97,87,82
901,73,78,74
436,75,68,64
692,66,74,81
691,73,76,78
50,53,55,48
198,45,53,55
60,79,74,72
781,77,90,84
365,49,58,60
355,61,72,70
536,51,60,58
677,70,82,76
149,100,100,93
471,63,69,74
613,65,77,74
701,57,67,72
514,77,97,94
414,51,72,79
37,50,64,59
918,57,77,80
569,68,68,67
462,71,70,76
982,79,85,86
519,67,78,79
361,85,84,78
479,76,71,67
455,37,56,47
314,59,64,75
666,63,73,71
784,91,81,79
279,73,56,57
811,45,47,49
435,50,48,53
200,67,84,86
440,67,81,79
386,64,73,70
895,32,34,38
948,49,50,52
879,64,76,74
601,29,29,30
11,40,52,43
661,73,66,63
558,53,70,70
812,54,64,67
70,58,63,73
103,60,44,47
339,35,55,60
378,71,83,77
73,61,57,56
206,82,62,62
463,77,90,91
265,59,42,41
655,62,67,67
64,59,58,59
763,62,62,63
799,52,55,57
950,94,73,71
392,76,67,67
333,90,78,81
790,48,62,60
809,59,54,51
396,50,67,63
941,78,91,96
347,77,94,95
920,69,70,67
768,68,71,75
469,91,74,76
789,52,65,61
785,32,51,44
534,73,69,68
476,76,62,66
226,72,72,71
609,58,63,65
711,80,85,85
89,73,86,82
869,49,51,51
295,67,62,60
648,50,53,55
18,46,42,46
230,76,64,66
229,88,95,94
684,62,66,68
228,68,72,64
145,22,39,33
757,70,68,72
547,72,67,64
572,53,62,56
805,75,81,74
544,64,63,66
838,58,57,53
900,85,84,89
919,91,96,91
5,71,83,78
423,59,85,80
771,75,73,74
515,76,87,85
233,92,87,78
17,18,32,28
871,70,72,76
311,66,60,57
127,65,77,74
632,66,74,81
793,89,84,77
27,67,69,75
926,64,56,52
541,79,82,80
894,59,62,69
780,46,56,57
490,65,85,76
164,81,92,91
882,64,73,71
332,62,56,53
252,60,70,70
788,68,65,61
59,0,17,10
776,66,72,70
160,82,78,74
800,67,73,68
548,62,67,64
195,61,55,52
746,69,75,71
724,47,43,41
527,36,53,43
114,99,100,100
755,84,95,92
398,74,63,57
268,88,92,95
111,62,55,49
815,94,86,87
66,45,37,37
955,72,57,62
167,58,76,78
450,64,85,85
848,59,72,68
638,86,76,74
419,57,56,54
430,64,66,59
604,84,89,90
916,100,100,100
574,74,81,71
376,80,90,82
449,81,73,72
975,64,82,77
615,60,68,72
176,46,54,58
972,53,50,60
520,71,49,52
133,75,81,84
965,62,70,72
278,65,86,80
270,69,63,61
979,91,95,94
645,65,81,81
497,59,78,76
605,75,72,62
984,74,75,82
218,66,77,70
